Ref Des,PosX,PosY,MirrorX,MirrorY
TP1,27.305,17.78,7.195,10.22
TP2,25.781,24.511,8.719,3.489
TP3,16.002,20.701,18.498,7.299
TP4,29.337,1.905,5.163,26.095
TP5,21.971,5.334,12.529,22.666
TP6,21.844,19.812,12.656,8.188
TP7,19.177,18.415,15.323,9.585
TP8,18.161,15.113,16.339,12.887
TP9,18.161,10.033,16.339,17.967
